symbol,volume,vwap,open,close,high,low,timestamp,transactions,date
INDF,6086,37.488,37.95,37.33,37.95,37.1401,1746820800000,112,2025-05-09
TSLP,62352,19.9541,19.61,19.95,20.2678,19.61,1746820800000,518,2025-05-09
RITMpC,22256,24.4195,24.49,24.3992,24.51,24.36,1746820800000,110,2025-05-09
QTOP,22631,24.7163,24.82,24.69,24.8489,24.6,1746820800000,293,2025-05-09
TECK,3074554.0,35.5686,35.09,35.73,35.87,35.015,1746820800000,31424,2025-05-09
ISCV,11885,58.604,58.77,58.66,58.8645,58.44,1746820800000,153,2025-05-09
ECX,5235934.0,1.5934,1.42,1.6,1.7,1.4001,1746820800000,7942,2025-05-09
GOOX,81662,19.1392,19.3,19.02,19.51,18.86,1746820800000,818,2025-05-09
WPC,816135,61.7478,61.01,61.8,62.06,60.715,1746820800000,14576,2025-05-09
BERZ,188402,9.7388,9.64,9.77,9.95,9.55,1746820800000,1461,2025-05-09
TOK,5361,116.5649,116.45,116.59,116.59,116.45,1746820800000,52,2025-05-09
CGCP,728181,22.1578,22.16,22.15,22.18,22.14,1746820800000,1885,2025-05-09
VHT,336150,244.2077,245.96,242.7,246.6448,242.57,1746820800000,5650,2025-05-09
MAYW,25848,31.0129,31.08,31.0071,31.0999,30.94,1746820800000,76,2025-05-09
REMX,61100,38.952,39.04,38.92,39.31,38.6817,1746820800000,901,2025-05-09
EPI,1631552.0,44.3157,44.49,44.26,44.63,44.125,1746820800000,11487,2025-05-09
BTT,56986,21.3451,21.37,21.31,21.37,21.31,1746820800000,237,2025-05-09
XNCR,935758,8.5442,8.84,8.33,9.37,8.31,1746820800000,12409,2025-05-09
TOTL,239170,39.7359,39.74,39.71,39.789,39.71,1746820800000,1114,2025-05-09
DGRO,1250661.0,60.6381,60.84,60.52,60.88,60.47,1746820800000,9875,2025-05-09
EWP,246294,41.0027,40.99,41.04,41.08,40.9,1746820800000,2189,2025-05-09
CVRX,1859507.0,5.0427,5.97,4.77,5.97,4.6101,1746820800000,17168,2025-05-09
VTAK,151445,0.2805,0.2956,0.286,0.2956,0.2634,1746820800000,334,2025-05-09
MBSD,15351,20.4771,20.58,20.46,20.58,20.45,1746820800000,60,2025-05-09
SVRE,22205,1.6904,1.72,1.6765,1.804,1.6362,1746820800000,162,2025-05-09
CFLT,5924882.0,20.7977,21.075,20.65,21.3842,20.46,1746820800000,50470,2025-05-09
TDTT,3126508.0,24.1537,24.15,24.15,24.19,24.15,1746820800000,893,2025-05-09
COPX,787770,39.0935,39.05,39.16,39.35,38.93,1746820800000,6635,2025-05-09
DJD,9840,50.6876,50.78,50.51,50.81,50.4845,1746820800000,287,2025-05-09
DTH,105060,44.4732,44.46,44.49,44.55,44.35,1746820800000,404,2025-05-09
SOJD,42618,20.0343,20.03,20.02,20.09,19.9674,1746820800000,301,2025-05-09
BAK,595627,3.6788,3.88,3.62,3.88,3.57,1746820800000,3435,2025-05-09
XSD,32317,210.4155,209.62,210.7,212.56,208.38,1746820800000,958,2025-05-09
LABU,2872874.0,48.3611,49.52,46.26,52.28,46.11,1746820800000,26937,2025-05-09
HEZU,86731,40.1503,40.32,40.2187,40.32,40.0813,1746820800000,242,2025-05-09
XLE,9996574.0,82.3587,82.6,82.43,82.835,81.76,1746820800000,85628,2025-05-09
UYG,7597,87.0037,87.66,86.94,87.66,86.5014,1746820800000,224,2025-05-09
WIX,722704,171.6648,172.17,171.53,175.75,169.95,1746820800000,10223,2025-05-09
GCAD,1819,36.6541,36.82,36.7559,36.82,36.45,1746820800000,30,2025-05-09
COIW,28443,31.5877,31.72,30.75,33.1252,30.6072,1746820800000,847,2025-05-09
FXR,84992,69.7205,69.75,69.74,69.92,69.46,1746820800000,435,2025-05-09
FENY,732619,22.6873,22.8,22.72,22.84,22.54,1746820800000,3130,2025-05-09
ECVT,1527655.0,7.1634,7.04,7.21,7.235,7.04,1746820800000,9907,2025-05-09
JFBR,220457,0.8417,0.8344,0.821,0.879899,0.819,1746820800000,775,2025-05-09
HPQ,7595730.0,26.5474,26.67,26.46,26.92,26.405,1746820800000,51346,2025-05-09
VYM,1196462.0,125.856,126.25,125.74,126.3232,125.4856,1746820800000,15961,2025-05-09
TFX,596360,125.1887,126.59,125.11,127.55,124.36,1746820800000,15053,2025-05-09
SLSR,23931,4.1742,4.21,4.22,4.29,4.1142,1746820800000,90,2025-05-09
QQQD,18561,18.3418,18.36,18.42,18.45,18.24,1746820800000,116,2025-05-09
BKSY,1074186.0,11.4276,11.45,11.55,11.91,11.01,1746820800000,15115,2025-05-09
SKBL,373117,12.2644,12.2,12.35,12.65,12.05,1746820800000,3141,2025-05-09
EVER,438896,23.2233,23.41,23.2,23.895,23.01,1746820800000,7300,2025-05-09
MWA,1995926.0,24.5606,24.85,24.5,24.99,24.41,1746820800000,20935,2025-05-09
YYY,120364,11.2313,11.21,11.23,11.25,11.21,1746820800000,644,2025-05-09
BUFG,15373,23.928,24.05,23.94,24.05,23.85,1746820800000,54,2025-05-09
VVX,123294,50.3802,50.69,50.6,50.815,49.64,1746820800000,3404,2025-05-09
BIPC,487004,38.8095,38.91,38.84,39.24,38.47,1746820800000,9064,2025-05-09
GTEK,5063,31.5872,31.67,31.435,31.88,31.36,1746820800000,43,2025-05-09
PGEN,858450,1.3642,1.35,1.33,1.42,1.33,1746820800000,4838,2025-05-09
KGRN,9511,25.8029,25.8,25.6706,26.02,25.5201,1746820800000,104,2025-05-09
CTMX,15444243.0,1.119,1.29,0.9284,1.3,0.9082,1746820800000,31009,2025-05-09
NVVE,263633188.0,2.6791,1.69,2.78,3.55,1.5701,1746820800000,980954,2025-05-09
TPET,76297,1.253,1.25,1.24,1.3,1.234,1746820800000,336,2025-05-09
CPAC,3284,5.5677,5.58,5.6,5.6,5.499,1746820800000,66,2025-05-09
GMOI,46534,27.5313,27.56,27.47,27.56,27.47,1746820800000,126,2025-05-09
FTV,3456609.0,70.4164,70.1,70.52,70.79,69.862,1746820800000,37975,2025-05-09
POST,1086613.0,110.2355,109.02,110.74,111.28,106.92,1746820800000,23642,2025-05-09
ETHU,4767016.0,53.358,53.27,52.82,55.0993,50.35,1746820800000,63974,2025-05-09
GNLpB,3587,21.3396,21.27,21.3507,21.6499,21.215,1746820800000,39,2025-05-09
BCX,89117,9.1258,9.12,9.13,9.15,9.08,1746820800000,488,2025-05-09
SYF,3295165.0,55.5475,55.69,55.63,55.93,55.1,1746820800000,39652,2025-05-09
ONLN,2956,44.8568,45.11,44.76,45.11,44.68,1746820800000,61,2025-05-09
ETHT,7612906.0,7.2967,7.39,7.3,7.6294,6.97,1746820800000,12096,2025-05-09
AMBI.WS,61020,0.1286,0.081,0.12,0.1604,0.081,1746820800000,63,2025-05-09
EVGN,37123,1.1563,1.12,1.1325,1.22,1.12,1746820800000,105,2025-05-09
BLES,27188,38.7067,38.73,38.73,38.805,38.6,1746820800000,71,2025-05-09
WTTR,1749306.0,8.2218,7.83,8.3,8.32,7.83,1746820800000,21553,2025-05-09
XYL,664819,122.9484,123.56,122.85,124,122.62,1746820800000,14058,2025-05-09
SVIX,4659033.0,13.2731,13.22,13.23,13.43,13.14,1746820800000,15849,2025-05-09
SNPE,148154,50.38,50.59,50.37,50.7,50.27,1746820800000,910,2025-05-09
NTSI,4211,39.3338,39.36,39.2897,39.3906,39.2897,1746820800000,69,2025-05-09
IFRA,123406,46.6848,46.93,46.83,46.93,46.5133,1746820800000,1149,2025-05-09
WOR,223163,58.0976,58.01,58.14,58.38,57.665,1746820800000,5010,2025-05-09
PBF,4305353.0,20.0818,19.64,20.13,20.44,19.3304,1746820800000,45465,2025-05-09
CDLX,678100,1.905,1.91,1.935,2.005,1.8501,1746820800000,5165,2025-05-09
UGL,347102,142.9433,143.28,142.39,143.97,141.65,1746820800000,4167,2025-05-09
STWD,2368794.0,19.1442,19.3,19.17,19.35,18.87,1746820800000,22555,2025-05-09
ADN,46549,2.9027,3.33,2.8,3.33,2.7,1746820800000,384,2025-05-09
BSCY,57145,20.3041,20.32,20.27,20.33,20.27,1746820800000,189,2025-05-09
SPB,663349,62.7455,63.66,61.86,64.835,61.76,1746820800000,15644,2025-05-09
CVLG,127274,21.0675,21.18,20.98,21.305,20.93,1746820800000,2043,2025-05-09
DDC,266251,3.2336,2.13,2.46,2.57,2.13,1746820800000,2350,2025-05-09
IHAK,42433,50.1296,50.61,50.1,50.61,49.83,1746820800000,555,2025-05-09
HEDJ,73550,48.4991,48.62,48.5,48.63,48.3,1746820800000,483,2025-05-09
GSY,418342,50.1438,50.14,50.14,50.15,50.13,1746820800000,2175,2025-05-09
IBTF,397506,23.3136,23.31,23.32,23.32,23.31,1746820800000,1090,2025-05-09
FRT,1249885.0,93.6991,95.25,93.5,95.25,93.105,1746820800000,23452,2025-05-09
VONE,117937,256.7981,258.09,256.76,258.27,256.2,1746820800000,969,2025-05-09
QID,3722363.0,32.5606,32.34,32.64,32.8866,32.175,1746820800000,10709,2025-05-09
MFDX,16066,33.7896,33.86,33.7628,33.86,33.716426,1746820800000,187,2025-05-09
JPMpJ,59286,19.9159,19.95,19.96,19.96,19.86,1746820800000,352,2025-05-09
XHLD,178755,0.7277,0.7446,0.7362,0.7799,0.7002,1746820800000,742,2025-05-09
WRBpG,6077,16.3594,16.43,16.37,16.46,16.3,1746820800000,103,2025-05-09
ASX,9763991.0,9.2446,9.24,9.26,9.35,9.19,1746820800000,18670,2025-05-09
YPF,4191717.0,32.1985,31.24,32.7,32.81,31.18,1746820800000,27993,2025-05-09
CMBS,13281,48.0353,48.11,48.07,48.11,47.8801,1746820800000,154,2025-05-09
TZOO,86913,14.5855,14.33,14.66,14.75,14.16,1746820800000,2337,2025-05-09
NVDY,1023559.0,15.3521,15.42,15.33,15.49,15.17,1746820800000,15226,2025-05-09
YOLO,50435,1.8423,1.83,1.8,1.87,1.8,1746820800000,337,2025-05-09
PTC,481403,163.3454,168.06,163.02,168.06,162.64,1746820800000,17061,2025-05-09
FPFD,8244,21.1871,21.18,21.1851,21.2063,21.18,1746820800000,70,2025-05-09
PKB,5033,75.229,75.57,75.3998,75.57,74.6901,1746820800000,112,2025-05-09
FREL,122127,27.0114,26.88,27.03,27.11,26.87,1746820800000,1131,2025-05-09
GHY,148165,12.8103,12.75,12.84,12.95,12.75,1746820800000,869,2025-05-09
EWW,1256367.0,58.37,58.72,58.12,58.895,58.07,1746820800000,13865,2025-05-09
SPYD,473239,42.2253,42.25,42.2,42.32,42.1,1746820800000,6431,2025-05-09
SDOT,40127,1.3789,1.4,1.37,1.4,1.33,1746820800000,177,2025-05-09
STLA,17687733.0,9.8573,9.84,9.83,9.97,9.73,1746820800000,42453,2025-05-09
KMI,8832713.0,27.2595,27.31,27.31,27.43,26.96,1746820800000,51010,2025-05-09
HONE,315924,11.4989,11.56,11.5,11.56,11.445,1746820800000,4516,2025-05-09
SGDM,30832,42.4478,41.85,42.96,42.98,41.85,1746820800000,471,2025-05-09
MMD,30860,14.9173,15,14.9,15,14.85,1746820800000,139,2025-05-09
FMAG,19399,31.0977,31.25,31.0636,31.25,30.99,1746820800000,223,2025-05-09
AVGO,13289174.0,208.0724,209.33,208.2,209.96,206.52,1746820800000,176797,2025-05-09
BCHP,609441,33.7143,34.11,33.8,34.11,33.6784,1746820800000,130,2025-05-09
IAK,104571,134.9255,134.93,134.84,135.2099,134.7063,1746820800000,1142,2025-05-09
WRBpH,7206,15.9996,16.02,15.97,16.0699,15.91,1746820800000,91,2025-05-09
EPD,3561653.0,30.9814,30.76,31.11,31.15,30.63,1746820800000,24049,2025-05-09
IYF,138150,113.4351,113.66,113.32,113.8299,113.0481,1746820800000,2326,2025-05-09
XXCH,18759,22.5964,22.3,22.6208,22.77,22.3,1746820800000,267,2025-05-09
VALE,19632067.0,9.3511,9.35,9.36,9.39,9.305,1746820800000,33117,2025-05-09
SMCX,2823340.0,24.3272,24.53,24.23,25.53,23.04,1746820800000,20027,2025-05-09
ACHR.WS,80436,2.2532,2.31,2.3,2.31,2.22,1746820800000,293,2025-05-09
GLD,6913131.0,307.4967,307.79,306.84,308.57,306.0101,1746820800000,75480,2025-05-09
TS,896656,34.0296,34.16,34.05,34.19,33.81,1746820800000,10761,2025-05-09
