symbol,name,volume,vwap,open,close,high,low,timestamp,transactions,date
DFAI,,825894,32.8804,32.85,32.86,32.94,32.8136,1746561600000,3213,2025-05-06
MRCY,,625196,50.3923,50.74,50.41,51.12,49.85,1746561600000,14161,2025-05-06
NMFC,,1128810.0,10.1392,9.9,10.16,10.215,9.86,1746561600000,6684,2025-05-06
RDCM,,15493,11.8818,11.8,12.05,12.07,11.6702,1746561600000,355,2025-05-06
ABBV,,9392012.0,188.8036,195.5,187.15,195.82,185.74,1746561600000,124563,2025-05-06
AUB,,946050,28.5885,28.72,28.45,29.12,28.42,1746561600000,12678,2025-05-06
QQQD,,140184,18.691,18.76,18.71,18.805,18.55,1746561600000,318,2025-05-06
BAI,,33994,23.4839,23.28,23.52,23.64,23.2466,1746561600000,248,2025-05-06
FXB,,9437,128.5658,128.69,128.61,128.69,128.4,1746561600000,228,2025-05-06
SOFX,,174082,10.422,10.19,10.56,10.71,10.11,1746561600000,628,2025-05-06
TLN,,1398645.0,232.3258,221.94,234.72,238,221.94,1746561600000,27451,2025-05-06
PGR,,1927180.0,283.2198,281.5,283.66,284.44,280.69,1746561600000,34520,2025-05-06
KHPI,,25024,23.8352,23.84,23.85,23.91,23.76,1746561600000,200,2025-05-06
EPM,,95667,4.1121,4.16,4.1,4.16,4.08,1746561600000,1551,2025-05-06
DSTL,,93028,52.6588,52.65,52.5,52.935,52.435,1746561600000,427,2025-05-06
AYI,,150506,250.7383,250.49,250.03,253.26,249.6,1746561600000,6001,2025-05-06
XLE,,11497731.0,80.7258,80.86,80.52,81.22,80.07,1746561600000,112577,2025-05-06
GCOW,,160277,36.998,37.13,36.95,37.16,36.91,1746561600000,889,2025-05-06
GRND,,1814363.0,23.1066,22.74,23.36,23.37,22.43,1746561600000,27359,2025-05-06
TGB,,17048517.0,1.9927,1.94,2.02,2.04,1.91,1746561600000,15397,2025-05-06
GFI,,3849714.0,23.2654,23.1,23.43,23.5,22.93,1746561600000,38846,2025-05-06
XOP,,4140218.0,113.5948,113.77,113.14,114.73,112.33,1746561600000,47815,2025-05-06
BOOT,,654554,110.4081,109.86,111.29,111.9374,108.32,1746561600000,13883,2025-05-06
LOAR,,564633,96.7707,95.09,97.23,97.835,94,1746561600000,11023,2025-05-06
VEEV,,734255,233.8243,234.88,232.81,237.2164,231.79,1746561600000,19017,2025-05-06
JKS,,694238,18.071,17.71,17.89,18.6,17.628,1746561600000,8236,2025-05-06
BXC,,103144,64.8051,65.67,64.62,65.67,64.19,1746561600000,3855,2025-05-06
IYC,,101223,90.6199,90.13,90.54,91.195,90.13,1746561600000,1491,2025-05-06
AVES,,29318,49.2391,49.07,49.23,49.34,49.0182,1746561600000,392,2025-05-06
EXG,,541865,8.2626,8.22,8.27,8.3053,8.2,1746561600000,1933,2025-05-06
CVE,,14871911.0,11.9139,11.8,11.84,12.115,11.67,1746561600000,34514,2025-05-06
HI,,417772,19.9511,20.06,19.77,20.465,19.77,1746561600000,6551,2025-05-06
INMU,,133537,23.3178,23.26,23.35,23.37,23.196,1746561600000,221,2025-05-06
ASPN,,1536316.0,5.5124,5.45,5.5,5.59,5.4,1746561600000,14370,2025-05-06
VNT,,709173,33.5448,33.09,33.43,33.85,33.06,1746561600000,14513,2025-05-06
OPTT,,4493689.0,0.4653,0.4998,0.4447,0.5,0.4297,1746561600000,6665,2025-05-06
DYNF,,1734220.0,49.3608,49.08,49.24,49.6,49.015,1746561600000,7423,2025-05-06
YDEC,,931,24.3242,24.31,24.3345,24.34,24.31,1746561600000,8,2025-05-06
WSBCP,,10108,25.0497,25.08,25.0796,25.08,25.03,1746561600000,77,2025-05-06
SATO,,1385,15.2362,15.49,15.2744,15.49,15.1105,1746561600000,57,2025-05-06
INQQ,,25652,15.4611,15.62,15.435,15.62,15.3801,1746561600000,204,2025-05-06
DTD,,18327,74.8735,74.74,74.7938,75.1,74.56,1746561600000,238,2025-05-06
PGX,,8672739.0,11.0373,10.96,11.07,11.08,10.96,1746561600000,8219,2025-05-06
CAPE,,9063,30.2184,30.22,30.15,30.33,30.09,1746561600000,95,2025-05-06
ARGOpA,,17679,25.1199,25.11,25.1383,25.1399,25.1016,1746561600000,73,2025-05-06
WOR,,352832,55.6788,54.6,56.15,56.245,54.08,1746561600000,8622,2025-05-06
